Job_Id,Designation,Required Skills,Max Exp (in months),Max Exp (in months)
52,Business Intelligence Development Manager,(See Job Description),10 - 15 yrs,
53,Senior. NET Developer (Temp-to-Perm),".Net, TFS, Web services, WCF, JQuery, AJAX, JavaScript, VB, VB Script, XML/XSL, CSS, architectural design patterns",4 - 7 yrs,
54,Frontend/UI Developer,"Angular.JS, React, Node.js, JavaScript",2 - 7 yrs,
55,Domestic Outsourcing Business Development Executive,"Development, IT, Network, Project, Sales",2 - 5 yrs,
56,Web Developer,"HTML, JavaScript, CSS, AJAX",1 - 6 yrs,
57,Senior Full Stack Developer,".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows",6 - 10 yrs,
58,Jr Business Analysts,"Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",3 - 6 yrs,
59,Manager - GFS,"10+ years of technical management experience Track record of building and delivering mission critical, 24x7 production software systems",2 - 7 yrs,
60,Java Full Stack Engineer (Angular JS is must),"Angular JS, Java/J2EE, Spring , Hibernate",0 - 1 yrs,
61,Windows Administrator,(See Job Description),8 - 12 yrs,
62,Software Engineer (Algorithm),"Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences, Android programming will be a plus.",0 - 5 yrs,
63,Sr. JavaScript Developer,"Node.js, JavaScript",3 - 5 yrs,
64,Planner/Scheduler,"SAP APO, MS Excel, BW reporting, Pharma or Biotech",10 - 16 yrs,
65,Technical Infrastructure Project Manager,Technical Infrastructure Project Manager,4 - 7 yrs,
66,Business Analyst,SQL Reporting Services Suite,5 - 9 yrs,
67,Project Coordinator,"Project coordinator,procurement,budget",0 - 1 yrs,
68,Sr Service Delivery Systems Administrator (DevOps) - 16-01286,"DEVOPS ENGINEER, SYSTEM ENGINEER, BUILD RELEASE ENGINEER, PYTHON, SHELL, PERL, BASH, LINUX, UNIX, RHEL, CENTOS, PERFORCE, JENKINS, MAVEN, CONTINUOUS INTEGRATION",3 - 8 yrs,
69,Oracle Business Systems Analyst,"Oracle R12 E-Business, General Ledger, Asset Management, Projects, AME, Workflow etc.",2 - 5 yrs,
70,Sr. EDI Business Analyst,Telecommuting not available Travel not required,4 - 9 yrs,
71,Scientific Software Specialist and BA,"Scientific Software, Business Analyst, Drug Development, biotech, pharma, data extraction, visualization SQL, R, Spotfire, user training,",0 - 5 yrs,
72,Linux Engineer,"Application, C++, Development, Engineer, Engineering, J2EE, Java, Linux, Network, Programming, Python, Shell Script, Software, System",3 - 6 yrs,
73,Front end-UI developer/UI-Web designer,Telecommuting not available Travel not required,0 - 5 yrs,
74,IT Ops Support,(See Job Description),5 - 7 yrs,
75,"Senior Product Manager, Pricing - Fulfillment By Amazon","Global FBA is looking for a passionate, talented product manager to develop pricing recommendations for the global business. The ideal candidate has outstanding business acumen and judgment, intense curiosity, excellent analytical abilities, strong technical skills, superior written and verbal communication skills, and the ability to influence cross-functional teams. He/she will have a strong bias toward data driven decision making. He/she will be a self-starter, comfortable with ambiguity and juggling multiple projects, able to think big and be creative (while paying careful attention to detail), and will enjoy working in a fast-paced dynamic environment. He/she will work closely with Marketing, Operations, and Finance teams around the world. The scope for this role includes the following: Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations that will help shape the future of FBA. Drive development of quantitative models necessary for the evaluation and implementation of new pricing strategies. Collaborate with product managers to develop pricing recommendations for new features or services. Manage fee development and implementation, including long term project planning and development resource allocation. Report key insights and trends, using statistical rigor to simplify and inform the larger team of noteworthy story lines. Collaborate with finance and product management as a leader of quantitative analysis. Analyze and solve business problems at their root, stepping back to understand the broader context. Develop solutions that utilize the highest standards of analytical rigor and data integrity. Recognize and adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation. Write high quality SQL code to retrieve and analyze data. Learn and understand a broad range of Amazon's data resources and know how, when, and which to use. Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations. Build scalable database solutions when required. Participate in periodic reviews with Amazon Executive Leadership team. FBA leverages Amazon's global fulfillment and customer service network for third party sellers who want to grow their business on and off Amazon.com. FBA enables customers to take advantage of Free Super Saver Shipping and Amazon Prime on third party items, while sellers can focus on selling rather than shipping. The Sr. Product Manager will be responsible for driving analysis in an effort to improve our understanding of Seller's costs globally. The role is global in scope and includes strategy, analysis and execution for FBA in North America, Europe and Asia.",3 - 6 yrs,
76,Infrastructure Production Developer,"Developer, Hardware, Java, Linux, Python, Software, Systems",0 - 5 yrs,
77,C#.NET Client/Server Developer,"C#, SQL, Stored Procedures, .NET, TCP/IP, Multithreadin",2 - 4 yrs,
78,Business Systems Analyst,B2C digital product management,1 - 5 yrs,
79,Software Infrastructure C++ Developer,"Algorithms, C++, Developer, Development, JavaScript, Libraries, Linux, Network, Performance, Perl, Programming, Protocols, Python, Software, System, Systems, TCP/IP, Unix",0 - 4 yrs,
80,Account Manager,"business development, sales, staffing",4 - 6 yrs,
81,Technical Recruiter,Recruiter,3 - 5 yrs,
82,Senior Technical Writer,(TECHNICAL WRITER OR TECH WRITING OR TECH WRITER ) AND(STANDARD OPERATING PROCEDURES OR SOP OR WORK INSTRUCTIONS OR PROCESS FLOWS ) AND(VISIO ),2 - 7 yrs,
83,Sr. Quality Assurance Test Analyst,"Analyst, Applications, Computer, Database, Development, Excel, Java, Management, Programming, Project, Project Management, Quality, Quality Assurance, Scripts, Software, SQL, Supervision, Test, Testing, VB, Web",0 - 0 yrs,
84,Business Systems Analyst III,(See Job Description),9 - 12 yrs,
85,Automated Test Engineer,(AUTOMATED TESTING over 3 year(s) ) AND (JAVA DEVELOPER over 2 year(s) ),0 - 5 yrs,
86,Senior Drupal Developer,Telecommuting not available Travel not required,2 - 5 yrs,
87,Senior Devops Engineer (Contract),"DevOps Engineer, Chef, Jenkins",2 - 5 yrs,
88,Capacity Planning Engineer - 11350,"Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin",5 - 7 yrs,
89,Data Center Virtualization Architect,(See Job Description),10 - 20 yrs,
90,Procurement System Manager,SaaS solution Coupa,3 - 5 yrs,
91,Sr. Information Risk Management Analyst,"CISSP, CISM, CISA",0 - 4 yrs,
92,Software Development Engineer,Java and C/C++,8 - 12 yrs,
93,Account Coordinator II,"Consulting, Lifecycle, Manager, Management, Project, Project Management, Sales, SalesForce, Scheduling, Telecommunications",0 - 5 yrs,
94,Technical Lead Supply Chain - 12241,"Software, Retail, Buying, Demand Planning, system, Analysis, Design, Supply Chain, applications development, WebSphere, WebLogic, Oracle, DB2, SQL Server, UNIX/AIX, Windows, and Mainframe",6 - 10 yrs,
95,C++ Software Developer for Multi-Asset Risk System,"Developer, Development, HTTP, Java, JavaScript, Lifecycle, Management, Programming, Project, Python, Release, Risk Management, Scheduling, SQL, Testing",3 - 8 yrs,
96,Senior MySQL DBA,Telecommuting not available Travel not required,5 - 7 yrs,
97,Manager of IS Network Engineers,(ROUTERS ) AND (FIREWALLS OR FIREWALL ) AND(MANAGER ) AND (CISCO ),3 - 8 yrs,
98,(US)-Program Manager Senior,"Access, Application, Business Requirements, CASE, Consulting, Development, IT, Manager, Program Manager, Project, Telecom",3 - 7 yrs,
99,"Business Analyst - Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt","Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",2 - 4 yrs,
100,DHMSM Operational Medicine Interface Developer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",3 - 8 yrs,
101,Information Technology Architect,"Analysis, Architecture, Business Requirements, Citrix, CSS, Development, Exchange, HTML, HTTP, IIS, Java, Linux, Management, Oracle, SQL, VMware, WebSphere, Windows",3 - 6 yrs,
102,SWIFT Messaging Specialist,"CSS, HTML, HTTP",1 - 6 yrs,
103,Technician-Systems,"VNF Manager ,CI/CD",5 - 8 yrs,
104,Angular JS / SOA / Web Developer w/ Middleware,"Architecture, CSS, Developer, Development, HTML, HTTP, IBM, J2EE, Java, jQuery, Middleware, NoSQL, Security, SOAP, Solr, SSL, Web Developer, WebSphere, XML",3 - 6 yrs,
105,BI Developer/Architect,,0 - 1 yrs,
106,Soarian Clinicals Consultant (Cerner),Point of Sale System Help Desk Manager,0 - 1 yrs,
107,San Storage Engineer,"Access, Brocade, Consulting, Engineer, Hardware, IT, Management, Switches, Systems, Telecom, Unix, Windows",2 - 7 yrs,
108,Java Developer,See job description,0 - 1 yrs,
109,SQL Web Application Developer,"Skills & Experience Bachelors degree in Engineering, Computer Science, MIS a related IT field, or equivalent work experience. Industry certifications related to this position a plus. Minim",10 - 18 yrs,
110,Mobile Device QA Tester II,"BASIC QUALIFICATIONS: 1+ year of Mobile Device Testing (Android, IOS and/or Windows) is required. 1-2 years of relevant work experience working for wireless carrier or vendor in Product Developmen",0 - 4 yrs,
111,Processor (Screen) - 3rd Shift,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",2 - 5 yrs,
112,Sr. Application Programmer,"Access, AML, Application, Business Requirements, Consulting, Developer, Development, IT, Java, Management, Oracle, Programmer, Software, Telecom, Testing, Unix, Web, WebSphere",10 - 20 yrs,
113,Full Stack Developer,"Access, Apache, Applications, Computer, Consulting, Developer, Development, IT, Programming, SDLC, Software, Systems, Telecom, User Interface",0 - 1 yrs,
114,Technology Manager of Analytics,"Agile, CSS, HTML, HTTP, Manager, Python",0 - 1 yrs,
115,Exhaust Processor (Exhaust) 3rd Shift,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",3 - 7 yrs,
116,Security - InfoSec Assessment,An ideal candidate will have: A bachelors in computer science (or equivalent) degree with 6 to 10 years of documented information security work experience Demonstrated experience in,0 - 5 yrs,
117,Sr. Systems Engineer - Storage (Contract-to-Hire),"High School Diploma or equivalent 7+ years of experience in Information Technology Engineering Technical certifications associated to the chosen technological track Expert working knowledge of the appropriate storage systems and physical hardware Proven history of balancing multiple priorities simultaneously with the ability to adapt to the changing needs of the business while meeting deadlines Flexibility to work evening and weekend hours as necessary Excellent verbal and written communication skills with the ability to relay technical information to a non-technical audience and effectively interact with all stakeholders including senior leadership Solid process documentation skills Expert understanding of Storage Area Networks, including solutions from EMC (VNX, VMAX, Unity, Avamar, Data Domain) and Nutanix systems Expert management experience with Cisco MDS zoning Experience managing Linux servers and environments Experience with VMware virtual server farms Experience deploying software, firmware, and updates to storage and backup environments Experience with DR planning, concepts, and strategies as it relates to storage and backup Experience managing team projects and mentoring",3 - 5 yrs,
118,"SAP Technical Lead (ERP, ECC, HANA) in Melville, NY or Davidson, NC","AP Technical Lead, SAP ERP, SAP ECC, HANA",6 - 10 yrs,
119,Audio / Visual Support Tech,"Contract Independent, Contract W2",0 - 4 yrs,
120,Auditor Analyst,"SOX, SARBANES OXLEY, SARBANES, AUDIT, FINANCE, INTERNAL CONTROL, COMPLIANCE, CONTROL",3 - 8 yrs,
121,Sr. Java Developer,See job description,1 - 5 yrs,
122,COBOL Developer / Programmer,See job description,1 - 6 yrs,
123,"Business Analyst - digital analytics, Google, Adobe, Tableau, ForeSee, SQL","digital analytics, Google, Adobe, Tableau, ForeSee, SQL",2 - 5 yrs,
124,Java Developer,"Access, Analysis, Analytical, Analytical Skills, Application, Applications, Architecture, Computer, Consulting, Data Architecture, Database, Developer, Development, Engineer, Engineering, IT, Java, Manager, Management, Modeling, Oracle, Programming, Project, Quality, SDLC, Security, Software, Software Engineer, SQL, Telecom, Testing, Web, XML",0 - 5 yrs,
125,Project Manager,"Access, Analytical, Computer, Consulting, Development, Engineering, IT, Manager, Management, Project, Project Management, Project Manager, Telecom",4 - 9 yrs,
126,Cyber Combat Targeteer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",0 - 2 yrs,
127,BA/ QA Tester,"Agile, Analysis, Automated, CSS, Development, Excel, HTML, HTTP, Middleware, MS Office, PowerPoint, Project, QA, QA Tester, Rational, Scripts, Scrum, SQL, Tester, Testing",0 - 5 yrs,
128,Business Analyst - PCI,PCI,5 - 10 yrs,
129,Sustaining Engineer III,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",2 - 5 yrs,
130,"Developer - iOS, Android, REST API, SQL, Xcode, AJAX","iOS, Android, REST API, SQL, Xcode, AJAX",1 - 3 yrs,
131,Processor (Tube Assembly),"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",7 - 10 yrs,
132,Treasury Associate,"Access, Analytical, Analytical Skills, BASIC, Consulting, Development, Excel, IT, Management, Microsoft Word, PowerPoint, Project, Project Management, Risk Management, Telecom",6 - 11 yrs,
133,.NET Developer III MS Dynamics,".Net, Access, Analysis, API, Application, Applications, ASP, ASP.NET, Consulting, CRM, Data Analysis, Developer, Development, Engineer, Foundation, IT, JavaScript, Management, Security, Software, Software Engineer, SQL, System, Systems, Telecom, Web, XML",0 - 1 yrs,
134,.Net Architect / Manager,".Net, Access, Analyst, Application, Applications, Architect, Architecture, Change Management, Consulting, Customer Service, Development, Development Manager, Engineering, IT, Manager, Management, Performance, Quality, Re-engineering, Software, SQL, SQL Server, Systems, Telecom",1 - 3 yrs,
135,"Director, Information Security","Full Time, Full Time",2 - 3 yrs,
136,Service Technicians - Printing,"CSS, HTML, HTTP",2 - 4 yrs,
137,Reporting Analyst,"Access, Analysis, Analyst, Analytical, Analytical Skills, Business Intelligence, Cognos, Consulting, Database, Excel, IBM, IT, Management, PowerPoint, Risk Management, SAS, SQL, Telecom",0 - 5 yrs,
138,Business Development Manager,"Analysis, CRM, Development, Development Manager, Manager, Management, Networking, Sales",4 - 8 yrs,
139,IT Project Manager (Mobile Apps),"Full Time, Full Time",0 - 0 yrs,
140,Application Architect,"Access, Analysis, Analytical, API, Application, Applications, Architect, Architecture, Consulting, Development, IT, Micro, Project, QA, Security, Software, Telecom, Web",0 - 1 yrs,
141,"Director of IS, Infrastructure, Network, Best Practices, IT Policy and Procedures","Director of IS, Infrastructure, Network, Best Practices, IT Policy and Procedures, Performace Management, PMP",4 - 9 yrs,
142,Senior Java Developer - Lead,"Contract Corp-To-Corp, Contract W2, Full Time",3 - 5 yrs,
143,Business Analyst,"Access, Analysis, Analyst, Application, Business Analyst, Consulting, IT, Management, Oracle, System, Telecom",3 - 5 yrs,
144,Project Manager,"Access, Accounting, Analytical, Application, Applications, Computer, Consulting, Development, IT, Manager, Management, Project, Project Manager, Software, Supervision, System, Systems, Telecom",1 - 4 yrs,
145,Lead/Sr Data Scientist,"Machine Learning, Big Data, Java",0 - 5 yrs,
146,Computer Systems Software Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",0 - 0 yrs,
147,Agile Developer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",7 - 9 yrs,
148,Testing Technical Specialist,"Agile, CSS, Development, HTML, HTTP, Java, Management, Project, Project Management, QA, Quality Center, Testing, Web Design",8 - 13 yrs,
149,Manufacturing Engineer II,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",1 - 3 yrs,
150,Sr. Full Stack Java Developer,"Analytical Skills, Automated, CSS, Database, DB2, Developer, Development, J2EE, Java, JavaScript, JSP, MongoDB, Oracle, Project, Research, SDLC, Testing, WebSphere, XML",0 - 1 yrs,
151,System Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",2 - 6 yrs,
152,Electronic Classroom System Administrator,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",4 - 8 yrs,
153,Tech Support Engineer,"ALM, C++, C#, JAVA, VB.NET, CUSTOMER SUPPORT, SQL, VISUAL STUDIO, HTML5, DEVELOPMENT SUPPORT",3 - 8 yrs,
154,Java Engineer,"Agile, Analysis, Apache, Automated, CSS, Development, GIT, HTML, HTTP, J2EE, Java, JavaScript, jQuery, Management, Matlab, Modeling, Python, Research, Scrum, Security, SOAP, Web Server",3 - 8 yrs,
155,"Developer - SQL, web services, .NET","SQL, web services, .NET",0 - 1 yrs,
156,Embedded Software Engineer,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",5 - 10 yrs,
157,Front Office Developer,"Agile, Analysis, Architecture, CSS, Database, Developer, Development, Excel, HTML, HTTP, JavaScript, jQuery, Management, Oracle, Protocol, Sales, Scrum, SDLC, SQL, VBA",3 - 8 yrs,
158,"Developer - WEB - HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET","HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET",5 - 8 yrs,
159,SharePoint Administrator,"CSS, HTML, HTTP, SQL",1 - 2 yrs,
160,Position Type: IT-Contract,See Job Description,7 - 12 yrs,
161,Android Developers,"Algorithms, Analysis, Android, Development, iOS, Management, Scrum, Security, TDD, Testing, UX",0 - 5 yrs,
162,Java Developer,"Apache, Business Requirements, Consulting, CSS, Developer, Development, Hadoop, HTML, HTTP, Java, JavaScript, jQuery, Linux, Management, OS x, Project, Scrum, Security, Solr, Supervision, Windows, Windows 7",4 - 9 yrs,
163,Systems Administrator (VMware / Red Hat Linux),See job description,1 - 3 yrs,
164,Program Scheduler V,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",0 - 5 yrs,
165,Sales Support Analyst,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi",6 - 10 yrs,
166,Information Systems Security Design Architect CISSP Required,"Contract Independent, Contract W2",1 - 3 yrs,
167,UI/UX Designer,"CSS, Development, HTML, HTTP, JavaScript, Management, Testing, UX",7 - 12 yrs,
168,Java Application Architect,"Hand on Java Developer, Java Architect, Cassandra Information Preference Java Technologies",0 - 2 yrs,
169,Business Analyst - Business Analyst healthcare,Business Analyst healthcare,6 - 8 yrs,
170,Oracle eBusiness Programmer (Oracle R12),Full Time,5 - 8 yrs,
171,"Network Administrator - Cisco UCS, VMware, Citrix, Windows","Cisco UCS, VMware, Citrix, Windows",0 - 0 yrs,
